seed,case,series,x_value,num_goods,num_bidders,scenario,arm,efficiency,efficiency_pct,initial_efficiency,efficiency_gain_from_initial_pct,true_welfare,full_info_welfare,welfare_loss,revenue,full_info_revenue,revenue_difference,revenue_difference_pct,revenue_loss,revenue_absolute_percentage_error,payment_error_over_optimum_welfare,initial_revenue_loss,revenue_loss_improvement_from_initial,surplus,value_queries,demand_queries,nl_queries,person_queries,person_tokens_in,person_tokens_out,person_tokens_total,shared_proxy_tokens_in,shared_proxy_tokens_out,candidate_bundles_generated,candidate_bundles_sent_to_pv,candidate_bundles_truncated,pv_calibration_family,pv_calibration_scale,pv_calibration_size_gamma,pv_calibration_size_threshold,pv_calibration_budget_cap,pv_calibration_config_hash
2,goods_6x8,goods,6,6,8,pc_build_6x8_from_spec,proxy sealed,0.9949066213921901,99.49066213921901,0.8438030560271647,15.110356536502545,5860.0,5890.0,30.0,3715.6900000000005,4800.0,-1084.3099999999995,-22.589791666666656,0.22589791666666656,0.22589791666666656,0.3165212224108658,0.2743983333333339,0.04850041666666735,2144.3099999999995,26,0,0,26,6558,2116,8674,16832,3006,146,146,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,goods_6x8,goods,6,6,8,pc_build_6x8_from_spec,proxy sealed,0.9363295880149812,93.63295880149812,0.9227102485529451,1.3619339462036084,5500.0,5874.0,374.0,3605.062000000001,4795.0,-1189.9379999999992,-24.816225234619377,0.2481622523461938,0.2481622523461938,0.3834719101123596,0.15053013555787323,-0.09763211678832057,1894.9379999999992,15,0,0,15,6705,2677,9382,27424,5055,256,256,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,goods_6x8,goods,6,6,8,pc_build_6x8_from_spec,proxy sealed,0.9952107279693486,99.52107279693486,0.7356130268199234,25.959770114942526,10390.0,10440.0,50.0,8066.49,9039.8,-973.3099999999995,-10.76694174649881,0.10766941746498812,0.10766941746498812,0.2284396551724136,0.11841854908294427,0.010749131617956154,2323.51,46,0,0,46,6550,3481,10031,25492,4917,198,198,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
0,goods_7x8,goods,7,7,8,pc_build_7x8_from_spec,proxy sealed,0.8202980837473386,82.02980837473386,0.8202980837473386,0.0,5779.0,7045.0,1266.0,3424.266,5074.0,-1649.734,-32.513480488766255,0.32513480488766255,0.32513480488766255,0.5890325053229241,0.32812416239653125,0.0029893575088686952,2354.734,15,0,0,15,6910,2983,9893,24898,4881,384,384,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,goods_7x8,goods,7,7,8,pc_build_7x8_from_spec,proxy sealed,0.9385106382978723,93.85106382978722,0.9080141843971631,3.049645390070921,6616.5,7050.0,433.5,5739.644,6504.0,-764.3559999999998,-11.752091020910205,0.11752091020910206,0.11752091020910206,0.3086019858156029,0.14456242312423115,0.027041512915129087,876.8559999999998,13,0,0,13,7069,3402,10471,43749,7582,552,552,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,goods_7x8,goods,7,7,8,pc_build_7x8_from_spec,proxy sealed,0.9991596638655462,99.91596638655463,0.9823529411764705,1.6806722689075682,7134.0,7140.0,6.0,5348.332,5438.0,-89.66799999999967,-1.6489150422949552,0.01648915042294955,0.01648915042294955,0.3947243697478992,0.2103670467083486,0.19387789628539906,1785.6679999999997,24,0,0,24,7885,3527,11412,28516,5749,276,276,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,goods_7x8,goods,7,7,8,pc_build_7x8_from_spec,proxy sealed,0.9859934853420196,98.59934853420197,0.9688925081433225,1.7100977198697076,6054.0,6140.0,86.0,3962.4979999999996,5154.0,-1191.5020000000004,-23.11800543267366,0.2311800543267366,0.2311800543267366,0.4261397394136807,0.3471431897555296,0.115963135428793,2091.5020000000004,16,0,0,16,7012,3648,10660,38927,7971,520,520,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,goods_7x8,goods,7,7,8,pc_build_7x8_from_spec,proxy sealed,0.9069767441860465,90.69767441860465,0.7916093023255814,11.53674418604651,9750.0,10750.0,1000.0,9135.88,9339.8,-203.92000000000007,-2.1833443970962985,0.021833443970962985,0.021833443970962985,0.8439720930232557,0.14673547613439256,0.12490203216342957,614.1200000000008,50,0,0,50,6786,2686,9472,31508,6327,374,374,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
0,goods_9x8,goods,9,9,8,pc_build_9x8_from_spec,proxy sealed,0.7102931596091205,71.02931596091206,0.593029315960912,11.726384364820852,5451.5,7675.0,2223.5,4268.633999999999,5524.0,-1255.366000000001,-22.725669804489517,0.22725669804489518,0.22725669804489518,0.9931400651465797,0.36148406951484424,0.13422737146994906,1182.866000000001,28,0,0,28,7641,3466,11107,71598,14085,1336,1336,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,goods_9x8,goods,9,9,8,pc_build_9x8_from_spec,proxy sealed,0.9215219976218787,92.15219976218788,0.8384661117717004,8.305588585017832,7750.0,8410.0,660.0,6373.450000000001,7544.0,-1170.5499999999993,-15.516304347826077,0.15516304347826076,0.15516304347826076,0.25405112960760995,0.29379135737009543,0.13862831389183466,1376.5499999999993,39,0,0,39,7743,4830,12573,40218,7850,1568,1568,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
