seed,case,series,x_value,num_goods,num_bidders,scenario,arm,efficiency,efficiency_pct,initial_efficiency,efficiency_gain_from_initial_pct,true_welfare,full_info_welfare,welfare_loss,revenue,full_info_revenue,revenue_difference,revenue_difference_pct,revenue_loss,revenue_absolute_percentage_error,payment_error_over_optimum_welfare,initial_revenue_loss,revenue_loss_improvement_from_initial,surplus,value_queries,demand_queries,nl_queries,person_queries,person_tokens_in,person_tokens_out,person_tokens_total,shared_proxy_tokens_in,shared_proxy_tokens_out,candidate_bundles_generated,candidate_bundles_sent_to_pv,candidate_bundles_truncated,pv_calibration_family,pv_calibration_scale,pv_calibration_size_gamma,pv_calibration_size_threshold,pv_calibration_budget_cap,pv_calibration_config_hash
0,goods_5x8,goods,5,5,8,pc_build_5x8_from_spec,proxy clock k=3,0.9272930648769575,92.72930648769575,nan,nan,4974.0,5364.0,390.0,2911.69,4480.0,-1568.31,-35.00691964285714,0.3500691964285714,0.3500691964285714,0.43592654735272185,nan,nan,2062.31,4,0,0,4,6903,3374,10277,16122,2689,140,140,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,goods_5x8,goods,5,5,8,pc_build_5x8_from_spec,proxy clock k=3,0.9087893864013267,90.87893864013267,nan,nan,4384.0,4824.0,440.0,3239.754,4220.0,-980.2460000000001,-23.228578199052134,0.23228578199052136,0.23228578199052136,0.6632989220563847,nan,nan,1144.246,6,0,0,6,6332,3899,10231,24380,4531,176,176,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,goods_5x8,goods,5,5,8,pc_build_5x8_from_spec,proxy clock k=3,1.0,100.0,nan,nan,5560.0,5560.0,0.0,3964.4300000000003,4560.0,-595.5699999999997,-13.060745614035081,0.13060745614035082,0.13060745614035082,0.1071169064748201,nan,nan,1595.5699999999997,16,0,0,16,6785,3436,10221,22644,3637,82,82,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,goods_5x8,goods,5,5,8,pc_build_5x8_from_spec,proxy clock k=3,1.0,100.0,nan,nan,5464.0,5464.0,0.0,3232.0099999999998,4405.0,-1172.9900000000002,-26.62860385925086,0.26628603859250854,0.26628603859250854,0.21467606149341145,nan,nan,2231.9900000000002,7,0,0,7,6444,3227,9671,23689,4034,124,124,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,goods_5x8,goods,5,5,8,pc_build_5x8_from_spec,proxy clock k=3,0.8977955911823647,89.77955911823648,nan,nan,8960.0,9980.0,1020.0,8690.0,8720.0,-30.0,-0.3440366972477064,0.0034403669724770644,0.0034403669724770644,0.2535070140280561,nan,nan,270.0,31,0,0,31,6229,3076,9305,23516,4042,136,136,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
0,goods_6x8,goods,6,6,8,pc_build_6x8_from_spec,proxy clock k=3,0.8560240963855422,85.60240963855422,nan,nan,5684.0,6640.0,956.0,4208.962,4684.0,-475.03799999999956,-10.141716481639616,0.10141716481639615,0.10141716481639615,0.2914213855421686,nan,nan,1475.0379999999996,13,0,0,13,7183,3041,10224,15618,2932,240,240,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,goods_6x8,goods,6,6,8,pc_build_6x8_from_spec,proxy clock k=3,0.9683734939759037,96.83734939759037,nan,nan,6430.0,6640.0,210.0,4795.124,6114.0,-1318.8760000000002,-21.571409878966314,0.2157140987896631,0.2157140987896631,0.41199457831325303,nan,nan,1634.8760000000002,18,0,0,18,6819,3605,10424,29618,5176,272,272,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,goods_6x8,goods,6,6,8,pc_build_6x8_from_spec,proxy clock k=3,1.0,100.0,nan,nan,5890.0,5890.0,0.0,4662.24,4800.0,-137.76000000000022,-2.8700000000000045,0.028700000000000045,0.028700000000000045,0.023388794567062856,nan,nan,1227.7600000000002,19,0,0,19,6558,2116,8674,16832,3006,146,146,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,goods_6x8,goods,6,6,8,pc_build_6x8_from_spec,proxy clock k=3,0.9863806605379639,98.6380660537964,nan,nan,5794.0,5874.0,80.0,3873.6099999999997,4795.0,-921.3900000000003,-19.21564129301356,0.19215641293013563,0.19215641293013563,0.2573561457269323,nan,nan,1920.3900000000003,13,0,0,13,6705,2677,9382,27424,5055,256,256,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,goods_6x8,goods,6,6,8,pc_build_6x8_from_spec,proxy clock k=3,0.921455938697318,92.1455938697318,nan,nan,9620.0,10440.0,820.0,9077.7,9039.8,37.900000000001455,0.41925706320937917,-0.004192570632093792,0.004192570632093792,1.0322528735632186,nan,nan,542.2999999999993,34,0,0,34,6550,3481,10031,25492,4917,198,198,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
