held_out_instance,pass,scale,score
all,3,1.4849999999999999,0.19798875641947752
all,3,1.486,0.18971332564921345
all,3,1.487,0.18982216882827094
all,3,1.488,0.18997327418651988
all,3,1.4889999999999999,0.19364366966822583
all,3,1.49,0.19375088432204496
all,4,1.475,0.196680061872038
all,4,1.4751,0.19669085373554518
all,4,1.4752,0.19670164559905237
all,4,1.4753,0.19671243746255954
all,4,1.4754,0.1886232293260667
all,4,1.4755,0.18863108001310336
all,4,1.4756,0.196744813053081
all,4,1.4757,0.19274981787955114
all,4,1.4758,0.18464151479026253
all,4,1.4759,0.1846420352303855
all,4,1.476,0.1846425556705085
all,4,1.4761,0.19679877237061694
all,4,1.4762,0.18868603482235946
all,4,1.4763,0.19682035609763127
all,4,1.4764,0.19683114796113851
all,4,1.4765,0.1887095868834692
all,4,1.4766,0.1927809724288936
all,4,1.4767,0.19686352355166006
all,4,1.4768,0.18873313894457897
all,4,1.4768999999999999,0.18874098963161556
all,4,1.4769999999999999,0.19689808493453131
