seed,case,series,x_value,num_goods,num_bidders,initial_efficiency,sealed_efficiency,clock_efficiency,sealed_efficiency_gain,clock_efficiency_gain,clock_minus_sealed_efficiency,sealed_value_queries,clock_value_queries,sealed_rounds,clock_rounds,sealed_payment_error_over_optimum_welfare,clock_payment_error_over_optimum_welfare,sealed_revenue_error_over_optimum_welfare,clock_revenue_error_over_optimum_welfare,sealed_revenue_loss,clock_revenue_loss,sealed_allocation_match,clock_allocation_match,sealed_termination_reason,clock_termination_reason,clock_failure_classification,clock_best_efficiency,clock_final_minus_best_welfare
2,bidders_8x10,bidders,10,8,10,0.7770892018779343,0.8893896713615024,0.9107981220657277,0.11230046948356809,0.13370892018779346,0.021408450704225368,44,29,13,67,0.4994191549295775,0.9125256338028168,0.08574516431924879,0.088286384976526,0.10255907457322548,0.10559860736747549,False,False,no_eligible_refinements,no_excess_demand,seen_but_not_refined,0.9107981220657277,0.0
2,bidders_8x4,bidders,4,8,4,0.8638314998658438,0.8445130131473034,0.859270190501744,-0.019318486718540417,-0.004561309364099819,0.014757177354440598,56,49,22,34,0.2572640193184867,0.32479822913871736,0.12115884089079682,0.10688086933190229,-0.24675355191256818,-0.21767486338797803,False,False,no_eligible_refinements,no_excess_demand,unknown,0.8638314998658438,-34.0
2,bidders_8x5,bidders,5,8,5,0.8638314998658438,0.8445130131473034,0.859270190501744,-0.019318486718540417,-0.004561309364099819,0.014757177354440598,55,46,21,34,0.28642125033539045,0.35131365709686074,0.13555889455326,0.13025865307217593,-0.2719935397039031,-0.26135881561238206,False,False,no_eligible_refinements,no_excess_demand,unknown,0.8638314998658438,-34.0
2,bidders_8x6,bidders,6,8,6,0.8568211920529801,1.0,0.7913907284768212,0.14317880794701987,-0.06543046357615889,-0.20860927152317876,49,15,21,34,0.1833634437086092,0.46516900662251653,0.07506145695364226,0.13889986754966882,-0.13048906285977413,-0.24146764909049034,True,False,no_eligible_refinements,no_excess_demand,late_refinement_worsened_final_allocation,0.8568211920529801,-494.0
2,bidders_8x7,bidders,7,8,7,0.8475496688741722,0.8894039735099337,1.0,0.04185430463576156,0.15245033112582784,0.11059602649006628,54,44,20,34,0.4936127152317882,0.12212052980132453,0.11857271523178799,0.024984105960264794,-0.20613032466037284,-0.04343311075293557,False,True,no_eligible_refinements,no_excess_demand,no_failure_global,1.0,0.0
2,bidders_8x9,bidders,9,8,9,0.7770892018779343,0.8734272300469483,0.8340845070422536,0.09633802816901404,0.056995305164319277,-0.03934272300469477,65,36,24,46,0.5489432863849766,0.5896125821596243,0.044342347417840385,0.1186353051643192,-0.07756997371879108,-0.2075338370565045,False,False,no_eligible_refinements,no_excess_demand,seen_but_not_refined,0.8340845070422536,0.0
2,goods_10x8,goods,10,10,8,0.8191489361702128,0.8416075650118203,0.8262411347517731,0.022458628841607542,0.007092198581560294,-0.015366430260047248,15,11,5,31,0.42418132387706864,0.5506366430260048,0.13935295508274248,0.11401347517730498,0.19301342501637217,0.15791650294695483,False,False,no_eligible_refinements,no_excess_demand,seen_but_not_refined,0.8262411347517731,0.0
2,goods_4x8,goods,4,4,8,0.9452247191011236,0.9915730337078652,1.0,0.0463483146067416,0.0547752808988764,0.008426966292134797,11,10,3,37,0.4941769662921348,0.0005898876404494127,0.08352528089887638,0.0005898876404494127,0.10218213058419241,0.0007216494845360512,False,True,no_eligible_refinements,no_excess_demand,no_failure_global,1.0,0.0
2,goods_5x8,goods,5,5,8,0.9424460431654677,0.9946043165467626,1.0,0.05215827338129497,0.05755395683453235,0.0053956834532373765,21,16,8,35,0.2602122302158273,0.1071169064748201,0.11992446043165463,0.1071169064748201,0.14622368421052626,0.13060745614035082,False,True,no_eligible_refinements,no_excess_demand,no_failure_global,1.0,0.0
2,goods_6x8,goods,6,6,8,0.8438030560271647,0.9949066213921901,1.0,0.15110356536502545,0.15619694397283534,0.005093378607809895,26,19,8,30,0.3165212224108658,0.023388794567062856,0.18409337860780975,0.023388794567062856,0.22589791666666656,0.028700000000000045,False,True,no_eligible_refinements,no_excess_demand,no_failure_global,1.0,0.0
