seed,case,series,num_goods,num_bidders,selected_goods,selected_bidders,good_categories,bidder_strata,mean_interest_density,bidders_with_exclusions,surviving_substitute_groups,distinct_substitute_groups,bidders_with_substitutes,surviving_complement_groups,distinct_complement_groups,bidders_with_complements,contested_goods,min_positive_bidders_per_good,mean_positive_bidders_per_good,full_information_welfare,full_information_winners,largest_winner_welfare_share,allocated_good_share,validation_passed
3,goods_4x8,goods,4,8,GPU_VALUE|RAM_64|SSD_4TB|SSD_2TB,enthusiast_gamer|creative_professional|software_developer|home_server_operator|office_user|system_integrator|ai_researcher|overclocker,3,4,0.8125,4,5,1,5,1,1,1,4,4,6.5,3364.0,3,0.5838287752675386,1.0,True
3,bidders_8x4,bidders,8,4,GPU_VALUE|RAM_64|SSD_4TB|SSD_2TB|GPU_GAM_HI|PSU_1000|CASE_ATX|RAM_32,enthusiast_gamer|creative_professional|software_developer|home_server_operator,5,3,0.875,3,7,3,4,4,4,4,8,2,3.5,6380.0,2,0.7037617554858934,1.0,True
3,joint_4x4,joint,4,4,GPU_VALUE|RAM_64|SSD_4TB|SSD_2TB,enthusiast_gamer|creative_professional|software_developer|home_server_operator,3,3,0.9375,1,3,1,3,1,1,1,4,3,3.75,3364.0,3,0.5838287752675386,1.0,True
3,goods_5x8,goods,5,8,GPU_VALUE|RAM_64|SSD_4TB|SSD_2TB|GPU_GAM_HI,enthusiast_gamer|creative_professional|software_developer|home_server_operator|office_user|system_integrator|ai_researcher|overclocker,3,4,0.775,6,7,2,6,2,2,2,5,4,6.2,5464.0,3,0.7437774524158126,1.0,True
3,bidders_8x5,bidders,8,5,GPU_VALUE|RAM_64|SSD_4TB|SSD_2TB|GPU_GAM_HI|PSU_1000|CASE_ATX|RAM_32,enthusiast_gamer|creative_professional|software_developer|home_server_operator|office_user,5,4,0.825,4,8,3,5,4,4,4,8,2,4.125,6380.0,2,0.7037617554858934,1.0,True
3,joint_5x5,joint,5,5,GPU_VALUE|RAM_64|SSD_4TB|SSD_2TB|GPU_GAM_HI,enthusiast_gamer|creative_professional|software_developer|home_server_operator|office_user,3,4,0.76,4,4,2,4,2,2,2,5,2,3.8,5464.0,3,0.7437774524158126,1.0,True
3,goods_6x8,goods,6,8,GPU_VALUE|RAM_64|SSD_4TB|SSD_2TB|GPU_GAM_HI|PSU_1000,enthusiast_gamer|creative_professional|software_developer|home_server_operator|office_user|system_integrator|ai_researcher|overclocker,4,4,0.8125,6,7,2,6,2,2,2,6,4,6.5,5874.0,3,0.7616615594143684,1.0,True
3,bidders_8x6,bidders,8,6,GPU_VALUE|RAM_64|SSD_4TB|SSD_2TB|GPU_GAM_HI|PSU_1000|CASE_ATX|RAM_32,enthusiast_gamer|creative_professional|software_developer|home_server_operator|office_user|system_integrator,5,4,0.8541666666666666,4,11,3,6,4,4,4,8,3,5.125,6380.0,2,0.7037617554858934,1.0,True
3,joint_6x6,joint,6,6,GPU_VALUE|RAM_64|SSD_4TB|SSD_2TB|GPU_GAM_HI|PSU_1000,enthusiast_gamer|creative_professional|software_developer|home_server_operator|office_user|system_integrator,4,4,0.8333333333333334,4,6,2,5,2,2,2,6,3,5,5874.0,3,0.7616615594143684,1.0,True
3,goods_7x8,goods,7,8,GPU_VALUE|RAM_64|SSD_4TB|SSD_2TB|GPU_GAM_HI|PSU_1000|CASE_ATX,enthusiast_gamer|creative_professional|software_developer|home_server_operator|office_user|system_integrator|ai_researcher|overclocker,5,4,0.8392857142857143,6,7,2,6,4,4,4,7,4,6.714285714285714,6140.0,2,0.6123778501628665,1.0,True
